function,experiment,log_scale,num_inputs,params,accuracy loss in bits,pk_time_ms,prover_time_ms,verifier_time_ms,proof_size
gelu,poly,120,100,"['gelu', 100, 77, 120]",12,65,439.37,4.16,9024 Bytes (8.8125 KiB)
gelu,pade,16,100,"['gelu', 100, 5, 16]",4,7,103.29,3.93,7872 Bytes (7.6875 KiB)
gelu,pade,32,100,"['gelu', 100, 8, 32]",4,8,111.45,3.89,7872 Bytes (7.6875 KiB)
gelu,pade,64,100,"['gelu', 100, 13, 64]",6,13,157.43,3.95,8256 Bytes (8.0625 KiB)
gelu,pade,120,100,"['gelu', 100, 24, 120]",8,23,253.87,4.07,8640 Bytes (8.4375 KiB)
gelu,pwl,16,100,"['gelu', 100, 0.0, 1.0, 5, 16]",5,45,403.71,4.14,9024 Bytes (8.8125 KiB)
gelu,pwl,32,100,"['gelu', 100, 0.0, 1.0, 13, 32]",5,114,1140,4.34,9792 Bytes (9.5625 KiB)
gelu,pwl,64,100,"['gelu', 100, 0.0, 1.0, 13, 64]",5,FAILED,FAILED,FAILED,FAILED
gelu,pwl,120,100,"['gelu', 100, 0.0, 1.0, 13, 120]",5,FAILED,FAILED,FAILED,FAILED
gelu,gl_quad,16,100,"['gelu', 100, 6, 16]",4,9,119.21,3.88,7872 Bytes (7.6875 KiB)
gelu,gl_quad,32,100,"['gelu', 100, 12, 32]",4,15,168.05,3.95,8256 Bytes (8.0625 KiB)
gelu,gl_quad,64,100,"['gelu', 100, 24, 64]",4,30,276.94,4.07,8640 Bytes (8.4375 KiB)
gelu,gl_quad,120,100,"['gelu', 100, 44, 120]",4,63,481.53,4.13,9024 Bytes (8.8125 KiB)
gelu,lookup,16,100,"['gelu', 100, 8, 16]",1,8,118.24,3.85,7872 Bytes (7.6875 KiB)
gelu,lookup,32,100,"['gelu', 100, 8, 32]",3,11,157.56,3.98,8256 Bytes (8.0625 KiB)
gelu,lookup,64,100,"['gelu', 100, 8, 64]",5,20,245.71,4.07,8640 Bytes (8.4375 KiB)
gelu,lookup,120,100,"['gelu', 100, 8, 120]",7,34,395.81,4.16,9024 Bytes (8.8125 KiB)
erf,poly,16,100,"['erf', 100, 9, 16]",6,9,107.11,3.88,7872 Bytes (7.6875 KiB)
erf,poly,32,100,"['erf', 100, 21, 32]",8,16,155.58,3.98,8256 Bytes (8.0625 KiB)
erf,poly,64,100,"['erf', 100, 37, 64]",10,29,249.45,4.05,8640 Bytes (8.4375 KiB)
erf,poly,120,100,"['erf', 100, 61, 120]",10,53,411.3,4.15,9024 Bytes (8.8125 KiB)
erf,pade,16,100,"['erf', 100, 5, 16]",4,7,101.15,3.9,7872 Bytes (7.6875 KiB)
erf,pade,32,100,"['erf', 100, 10, 32]",6,9,112.44,3.88,7872 Bytes (7.6875 KiB)
erf,pade,64,100,"['erf', 100, 17, 64]",8,14,165.47,3.98,8256 Bytes (8.0625 KiB)
erf,pade,120,100,"['erf', 100, 26, 120]",8,24,249.23,4.1,8640 Bytes (8.4375 KiB)
erf,pwl,16,100,"['erf', 100, 0.0, 1.0, 5, 16]",5,46,395.15,4.16,9024 Bytes (8.8125 KiB)
erf,pwl,32,100,"['erf', 100, 0.0, 1.0, 13, 32]",5,114,1140,4.3,9792 Bytes (9.5625 KiB)
erf,pwl,64,100,"['erf', 100, 0.0, 1.0, 13, 64]",5,FAILED,FAILED,FAILED,FAILED
erf,pwl,120,100,"['erf', 100, 0.0, 1.0, 13, 120]",5,FAILED,FAILED,FAILED,FAILED
erf,gl_quad,16,100,"['erf', 100, 4, 16]",4,21,237.47,4.05,8640 Bytes (8.4375 KiB)
erf,gl_quad,32,100,"['erf', 100, 8, 32]",4,70,475.23,4.17,9024 Bytes (8.8125 KiB)
erf,gl_quad,64,100,"['erf', 100, 16, 64]",4,327,2320,4.49,10176 Bytes (9.9375 KiB)
erf,gl_quad,120,100,"['erf', 100, 30, 120]",4,1417,8690,6.78,10944 Bytes (10.6875 KiB)
erf,lookup,16,100,"['erf', 100, 16, 16]",2,181,1420,4.38,9792 Bytes (9.5625 KiB)
erf,lookup,32,100,"['erf', 100, 16, 32]",1,FAILED,FAILED,FAILED,FAILED
erf,lookup,64,100,"['erf', 100, 16, 64]",3,FAILED,FAILED,FAILED,FAILED
erf,lookup,120,100,"['erf', 100, 16, 120]",5,FAILED,FAILED,FAILED,FAILED
tanh,poly,16,100,"['tanh', 100, 13, 16]",6,11,112.8,3.87,7872 Bytes (7.6875 KiB)
tanh,poly,32,100,"['tanh', 100, 37, 32]",10,24,184.49,3.97,8256 Bytes (8.0625 KiB)
tanh,poly,64,100,"['tanh', 100, 85, 64]",12,61,418.53,4.17,9024 Bytes (8.8125 KiB)
tanh,poly,120,100,"['tanh', 100, 150, 120]",14,FAILED,FAILED,FAILED,FAILED
tanh,pade,16,100,"['tanh', 100, 4, 16]",2,6,99.67,3.91,7872 Bytes (7.6875 KiB)
tanh,pade,32,100,"['tanh', 100, 6, 32]",4,7,104.76,3.9,7872 Bytes (7.6875 KiB)
tanh,pade,64,100,"['tanh', 100, 10, 64]",6,11,149.04,4,8256 Bytes (8.0625 KiB)
tanh,pade,120,100,"['tanh', 100, 16, 120]",6,16,177.57,3.95,8256 Bytes (8.0625 KiB)
tanh,pwl,16,100,"['tanh', 100, 0.0, 1.0, 5, 16]",5,45,397.58,4.15,9024 Bytes (8.8125 KiB)
tanh,pwl,32,100,"['tanh', 100, 0.0, 1.0, 13, 32]",5,117,1120,4.35,9792 Bytes (9.5625 KiB)
tanh,pwl,64,100,"['tanh', 100, 0.0, 1.0, 13, 64]",5,FAILED,FAILED,FAILED,FAILED
tanh,pwl,120,100,"['tanh', 100, 0.0, 1.0, 13, 120]",5,FAILED,FAILED,FAILED,FAILED
tanh,gl_quad,16,100,"['tanh', 100, 7, 16]",4,8,119.86,3.89,7872 Bytes (7.6875 KiB)
tanh,gl_quad,32,100,"['tanh', 100, 14, 32]",4,15,170.69,3.97,8256 Bytes (8.0625 KiB)
tanh,gl_quad,64,100,"['tanh', 100, 28, 64]",4,31,285.83,4.06,8640 Bytes (8.4375 KiB)
tanh,gl_quad,120,100,"['tanh', 100, 56, 120]",4,81,684.69,4.23,9408 Bytes (9.1875 KiB)
tanh,lookup,16,100,"['tanh', 100, 8, 16]",1,7,109.74,3.87,7872 Bytes (7.6875 KiB)
tanh,lookup,32,100,"['tanh', 100, 8, 32]",3,9,149.87,3.97,8256 Bytes (8.0625 KiB)
tanh,lookup,64,100,"['tanh', 100, 8, 64]",5,17,232.68,4.05,8640 Bytes (8.4375 KiB)
tanh,lookup,120,100,"['tanh', 100, 8, 120]",7,29,297.51,4.07,8640 Bytes (8.4375 KiB)
tan,poly,16,100,"['tan', 100, 17, 16]",8,13,122.97,3.9,7872 Bytes (7.6875 KiB)
tan,poly,32,100,"['tan', 100, 37, 32]",10,FAILED,FAILED,FAILED,FAILED
tan,poly,64,100,"['tan', 100, 90, 64]",12,63,425.52,4.15,9024 Bytes (8.8125 KiB)
tan,poly,120,100,"['tan', 100, 80, 120]",12,FAILED,FAILED,FAILED,FAILED
tan,pade,16,100,"['tan', 100, 4, 16]",2,6,100.05,3.9,7872 Bytes (7.6875 KiB)
tan,pade,32,100,"['tan', 100, 7, 32]",4,8,106.43,3.87,7872 Bytes (7.6875 KiB)
tan,pade,64,100,"['tan', 100, 11, 64]",6,11,150.99,3.99,8256 Bytes (8.0625 KiB)
tan,pade,120,100,"['tan', 100, 16, 120]",6,16,178.74,3.97,8256 Bytes (8.0625 KiB)
tan,pwl,16,100,"['tan', 100, 0.0, 0.78, 7, 16]",5,46,404.45,4.14,9024 Bytes (8.8125 KiB)
tan,pwl,32,100,"['tan', 100, 0.0, 0.78, 14, 32]",5,174,1410,4.34,9792 Bytes (9.5625 KiB)
tan,pwl,64,100,"['tan', 100, 0.0, 0.78, 14, 64]",5,FAILED,FAILED,FAILED,FAILED
tan,pwl,120,100,"['tan', 100, 0.0, 0.78, 14, 120]",5,FAILED,FAILED,FAILED,FAILED
tan,gl_quad,16,100,"['tan', 100, 4, 16]",4,6,105.55,3.9,7872 Bytes (7.6875 KiB)
tan,gl_quad,32,100,"['tan', 100, 9, 32]",4,11,150.44,4,8256 Bytes (8.0625 KiB)
tan,gl_quad,64,100,"['tan', 100, 18, 64]",4,22,248.89,4.05,8640 Bytes (8.4375 KiB)
tan,gl_quad,120,100,"['tan', 100, 34, 120]",4,49,430.04,4.12,9024 Bytes (8.8125 KiB)
tan,lookup,16,100,"['tan', 100, 16, 16]",2,206,2020,4.44,10176 Bytes (9.9375 KiB)
tan,lookup,32,100,"['tan', 100, 16, 32]",1,FAILED,FAILED,FAILED,FAILED
tan,lookup,64,100,"['tan', 100, 16, 64]",3,FAILED,FAILED,FAILED,FAILED
tan,lookup,120,100,"['tan', 100, 16, 120]",5,FAILED,FAILED,FAILED,FAILED
cos,poly,16,100,"['cos', 100, 5, 16]",4,7,99.25,3.89,7872 Bytes (7.6875 KiB)
cos,poly,32,100,"['cos', 100, 13, 32]",6,11,116.62,3.9,7872 Bytes (7.6875 KiB)
cos,poly,64,100,"['cos', 100, 21, 64]",8,17,168.73,3.98,8256 Bytes (8.0625 KiB)
cos,poly,120,100,"['cos', 100, 33, 120]",10,30,263.42,4.07,8640 Bytes (8.4375 KiB)
cos,pade,16,100,"['cos', 100, 4, 16]",2,6,99.66,3.88,7872 Bytes (7.6875 KiB)
cos,pade,32,100,"['cos', 100, 6, 32]",4,7,104.7,3.9,7872 Bytes (7.6875 KiB)
cos,pade,64,100,"['cos', 100, 10, 64]",6,10,148.04,3.96,8256 Bytes (8.0625 KiB)
cos,pade,120,100,"['cos', 100, 16, 120]",6,17,176.62,3.95,8256 Bytes (8.0625 KiB)
cos,pwl,16,100,"['cos', 100, 0.0, 1.0, 5, 16]",5,45,411.08,3.96,9024 Bytes (8.8125 KiB)
cos,pwl,32,100,"['cos', 100, 0.0, 1.0, 13, 32]",5,122,1260,4.38,9792 Bytes (9.5625 KiB)
cos,pwl,64,100,"['cos', 100, 0.0, 1.57, 14, 64]",5,FAILED,FAILED,FAILED,FAILED
cos,pwl,120,100,"['cos', 100, 0.0, 1.57, 14, 120]",5,FAILED,FAILED,FAILED,FAILED
cos,gl_quad,16,100,"['cos', 100, 4, 16]",4,FAILED,FAILED,FAILED,FAILED
cos,gl_quad,32,100,"['cos', 100, 9, 32]",4,7,113.33,3.96,7872 Bytes (7.6875 KiB)
cos,gl_quad,64,100,"['cos', 100, 18, 64]",4,24,251.69,4.07,8640 Bytes (8.4375 KiB)
cos,gl_quad,120,100,"['cos', 100, 34, 120]",4,50,441.53,4.15,9024 Bytes (8.8125 KiB)
cos,lookup,16,100,"['cos', 100, 16, 16]",2,150,1350,4.32,9792 Bytes (9.5625 KiB)
cos,lookup,32,100,"['cos', 100, 16, 32]",1,FAILED,FAILED,FAILED,FAILED
cos,lookup,64,100,"['cos', 100, 16, 64]",3,FAILED,FAILED,FAILED,FAILED
cos,lookup,120,100,"['cos', 100, 16, 120]",5,FAILED,FAILED,FAILED,FAILED
power,poly,16,100,"['power', 100, 5, 16, 0.876]",4,10,115.3,3.88,7872 Bytes (7.6875 KiB)
power,poly,32,100,"['power', 100, 9, 32, 0.876]",6,14,158.57,4,8256 Bytes (8.0625 KiB)
power,poly,64,100,"['power', 100, 17, 64, 0.876]",8,26,254,4.08,8640 Bytes (8.4375 KiB)
power,poly,120,100,"['power', 100, 29, 120, 0.876]",8,50,413.89,4.16,9024 Bytes (8.8125 KiB)
power,pade,16,100,"['power', 100, 3, 16, 0.876]",2,8,109.6,3.88,7872 Bytes (7.6875 KiB)
power,pade,32,100,"['power', 100, 5, 32, 0.876]",4,10,131.37,3.87,7872 Bytes (7.6875 KiB)
power,pade,64,100,"['power', 100, 8, 64, 0.876]",4,15,174.19,3.97,8256 Bytes (8.0625 KiB)
